   692, -6564, 14996,26.46,  -617,  -102,   -45
 -2292, -4744, 15988,26.41,  -455,   -84,  -296
  -480, -5740, 20576,26.41,  -535,   -68,  -139
 -1636, -5336, 17016,26.41, -1357,   860,  -226
    60, -6060, 18464,26.51,  -865,   365,   -52
  -740, -5544, 18584,26.37,  -736,   287,  -207
   396, -4852, 19400,26.37,  -301,  -554,  -209
  -676, -6764, 17468,26.37, -1316,    26,  -309
   920, -4660, 18064,26.41,  -397,   143,  -185
  -628, -4656, 18592,26.46,  -333,   -18,  -202
   424, -4756, 20348,26.51,  -473,  -851,  -305
  -488, -5056, 17100,26.37,  -173,  -362,  -159
 -1616, -5924, 17508,26.51, -1254,   723,  -133
   -56, -4388, 20424,26.46,  -886,    10,  -155
   188, -4680, 19292,26.37, -1151,   476,   -79
   820, -6252, 17172,26.37,   226,  -898,  -159
 -1116, -4364, 17376,26.51,  -521,   742,   -29
  -128, -5376, 16848,26.46,  -281,   271,   150
  -168, -3768, 18956,26.46,  -907,   341,   169
  -252, -3940, 17264,26.41, -1089,   457,   573
  -524, -5060, 19004,26.51, -1003,  -705,   365
  1748, -5360, 19308,26.51,  -754,  -505,   675
  4480, -5524, 22756,26.41,   393,  -956,  1150
  5492, -3288, 23160,26.46,    92, -2259,  1042
  4348, -6036, 18016,26.46,  -432,  -979,  1504
  2268, -3996, 14044,26.37,  -845,  -403,  2623
  3788, -5352, 12340,26.37, -3417, -1211,  2878
  4144, -3704, 15720,26.46, -1852,   126,  2513
  6516, -4352, 19860,26.46,   789,   375,  2515
  7752, -4904, 20776,26.37, -1466,  -881,  2194
  3320, -5236, 14112,26.37, -1273,  -106,  2172
  3156, -7552, 15172,26.41,  -890,  1352,  2071
  6140, -5820, 19992,26.41,   792,  -756,  1733
  2388, -6448, 17740,26.41,  -274,  -465,   982
  -824, -6504, 17828,26.41, -1624,   914,   375
 -1004, -5176, 15504,26.32, -1510,   827,    37
  -408, -6316, 18120,26.41, -1066,  -159,   -86
  1056, -5896, 17252,26.32,  -247,  -475,  -291
  -356, -4508, 18316,26.41,  -910,  -477,  -370
  -308, -5588, 16484,26.37,  -363,  -137,  -349
  -156, -7324, 16856,26.37,  -542, -1011,  -664
 -3220, -4600, 15860,26.32, -1551,  1341,  -661
  -464, -8352, 21200,26.32, -1714,   314,  -802
 -3112, -5672, 16504,26.37,   197,  -735,  -992
 -1272, -5340, 19516,26.37,  -845,   105,  -903
 -4980, -5140, 16336,26.37, -1242,   944,  -830
  1168, -7444, 18728,26.37,  -265,  -809,  -881
   132, -4876, 19024,26.51,  -485,   149,  -842
 -3896, -5744, 18288,26.27, -1672,  1389,  -907
  1444, -7668, 22368,26.37,  1326, -2241, -1211
   -32, -6556, 16404,26.46,  -422,  -661,  -840
 -1476, -6704, 15228,26.37, -1223,  1497,  -622
 -3540, -5720, 16172,26.41,  -593,   -30,  -927
 -1316, -5880, 16992,26.32, -1881,   793,  -629
 -2000, -4104, 17568,26.32,  -365,   801,  -506
   824, -6356, 14788,26.41,  -649,   397,  -472
  -228, -4380, 17348,26.41,  -433,   235,  -400
  -428, -4500, 18260,26.41,  -685,   262,  -414
 -2552, -3744, 14276,26.41, -1744,  1270,  -380
  -952, -4160, 16216,26.37,  -457,   -72,  -468
 -1448, -4696, 15844,26.46, -1808,  1743,   -90
   212, -3868, 16396,26.41,  -405,   510,   -59
  -184, -7808, 19616,26.37, -2300,   979,   -54
    52, -4492, 17696,26.37,  -252,    26,  -137
   268, -5408, 17844,26.37, -1357,   168,  -159
   600, -4460, 17332,26.37,  -542,   568,   -20
  -320, -3860, 16072,26.41,  -488,   295,  -114
  1048, -6416, 18368,26.32,  -541,  -301,  -183
   140, -4300, 17980,26.27, -1633,  1181,    -9
   604, -6300, 18196,26.46,  -716,   626,   -27
  1080, -3740, 17804,26.46, -1034,   554,    31
   216, -4868, 16064,26.32, -1083,   889,   161
  1940, -5384, 19948,26.37,  -555,  -226,    43
   640, -5676, 18136,26.37,  -896,   602,   135
  -148, -6748, 18088,26.37,  -779,     5,    57
  -728, -5756, 13960,26.41,  -715,   201,    72
   660, -5696, 16440,26.41, -1044,   546,   259
  2088, -7436, 21208,26.41,  -242,  -542,   313
   396, -6004, 15660,26.41, -1257,   372,   247
   -20, -6808, 18316,26.41, -1291,   873,   365
   716, -5900, 14008,26.37,  -825,  -725,    61
  -380, -5388, 19744,26.27,  -789,  -478,    18
    64, -6204, 18028,26.46,  -943,  1027,   -31
 -1416, -6220, 17564,26.37,   435,  -607,  -467
  -636, -6004, 18892,26.37,  -269,  -610,  -567
  -448, -5232, 18624,26.37,  -371,  -578,  -694
 -2064, -5488, 16888,26.32,  -294,   -32,  -916
 -1036, -6148, 20580,26.37,   -78,   -65,  -882
 -1020, -5992, 17272,26.41, -1334,   515,  -867
 -2436, -5484, 16044,26.51,  -309,   239,  -988
  -640, -6072, 20476,26.46,  -523,   -41,  -805
 -1436, -5736, 16772,26.41,  -864,   684,  -862
 -2524, -4316, 20664,26.37,  -980,   709,  -851
 -4384, -8068, 16712,26.37,  -588,   476, -1033
 -4368, -5592, 16788,26.37, -1142,  1097, -1105
 -3588, -5388, 13656,26.41, -1043,   686, -1250
 -4508, -5528, 17988,26.32, -1758,  1827, -1413
 -3748, -4080, 16716,26.27,  -446,   680, -1272
 -2408, -5144, 18548,26.37,  -847,   588, -1231
 -3776, -6244, 20244,26.37,  -796,   598, -1414
 -4316, -5420, 17824,26.37,  -507,   594, -1309
 -5196, -7004, 16108,26.46, -1237,   857, -1244
 -2888, -6444, 19488,26.27,   326,  -219, -1093
 -2852, -6628, 19600,26.32, -1191,  1545,  -806
 -1668, -6144, 18268,26.32, -1189,   347,  -612
  -528, -5476, 20028,26.27,  -503,   597,  -271
  -992, -5064, 19324,26.37,    51,   212,  -109
   428, -6252, 19216,26.41,  -282,  -866,  -210
 -2240, -6760, 14008,26.32,  -804,  1461,    -1
  3320, -6680, 22776,26.37,  -303, -1540,   -37
  4008, -3720, 20624,26.46,   182,  -628,   223
  1488, -3976, 14592,26.37,   926, -1621,   154
  -492, -4748, 17764,26.27,  -771,   -33,   205
    -4, -2172, 14944,26.41,  -429,   432,   365
  2928, -5376, 19460,26.37,  -994,   125,   647
  -560, -3548, 15592,26.37,  -594,   325,   356
   540, -3332, 15352,26.37, -1303,   740,   318
  1848, -3532, 20316,26.27,  -432,   240,   380
  1160, -4748, 17908,26.41,  -584,  -713,   239
   544, -3168, 16984,26.41, -1335,   263,   314
   844, -2408, 16600,26.41,  -287,  -434,   418
  1740, -2968, 16992,26.41, -1158,   599,   687
  2364, -3884, 16596,26.41,  -582,  -462,   705
  1764, -3536, 18652,26.46, -1109,   484,   789
  1696, -3716, 17136,26.37,  -512,   198,  1044
  3852, -2952, 19880,26.37, -1519,   149,  1267
  1984, -2096, 18828,26.46, -1232,    16,  1276
  6344, -3032, 22596,26.32,  1711, -4285,   382
  3076, -3656, 18620,26.41, -1501,   672,  1335
   984, -3284, 16524,26.37, -1483,   710,  1109
   900, -2672, 15960,26.32, -1733,  1142,  1004
   660, -5436, 17660,26.32,  -877,   145,   894
  1964, -5376, 18304,26.41,  -755,  -442,   725
  2428, -4528, 19496,26.37,  -305,  -571,   792
  -384, -5984, 17108,26.37, -1218,   342,   669
   888, -4864, 17012,26.41,  -999,  -532,   503
   676, -3884, 18976,26.32,  -447,  -172,   494
    52, -4424, 17016,26.37, -1351,  1081,   335
  -452, -5108, 19188,26.37, -1131,    72,   282
 -1456, -4508, 16196,26.37, -1495,   985,   138
  -520, -5124, 15864,26.27,  -704,  -644,  -171
 -2052, -4072, 18400,26.46,  -895,   635,  -174
 -2348, -5420, 15520,26.41,  -658,   359,  -396
 -3604, -3000, 18252,26.41, -1298,   122,  -530
  -896, -4856, 15576,26.32, -1145,   465,  -495
 -1860, -5788, 18440,26.41, -1097,  1906,  -581
 -1440, -6060, 18532,26.41, -1285,  1668,  -463
 -2920, -4360, 18492,26.27,  -788,  1188,  -695
 -1928, -4436, 18068,26.27,  -608,  -570,  -699
 -2352, -5084, 17536,26.46,  -802,     2,  -856
 -1828, -4324, 16152,26.32, -1428,  -659,  -761
 -1552, -5364, 14424,26.41,  -748,   957,  -508
  -876, -4080, 18456,26.37,  -460,   185,  -599
 -2324, -4120, 17944,26.27,  -482,  -628,  -738
  2372, -5984, 22772,26.37, -1411,  -620,  -697
