x,y,z
992,-74,-172
973,-82,-121
1020,55,-125
984,109,-145
1039,117,-117
961,35,-129
980,-74,-121
965,-156,-117
992,39,-133
992,-51,-121
969,-152,-148
992,82,-133
996,-23,-125
969,-129,-148
988,98,-129
1023,-8,-137
969,-113,-145
1008,121,-133
1023,-16,-125
965,-74,-137
1008,125,-129
1016,8,-125
984,82,-117
1023,63,-125
977,-70,-160
973,-94,-109
1012,43,-133
980,-31,-145
973,-90,-121
992,35,-121
988,-8,-148
977,-105,-121
1039,105,-117
973,8,-141
1039,105,-125
1000,102,-133
980,-12,-117
965,86,-113
961,-23,-117
1004,-16,-125
973,-94,-121
1004,117,-133
996,4,-125
1016,-8,-125
977,-59,-121
1008,27,-117
1000,-109,-152
965,-59,-109
1027,35,-121
984,148,-145
1016,16,-129
984,-35,-145
977,137,-113
980,-105,-129
988,0,-145
988,-78,-152
973,-121,-133
969,12,-129
977,-78,-121
953,-137,-168
1020,8,-137
1047,-70,-121
953,-148,-148
996,55,-133
1031,-31,-121
973,-148,-145
992,86,-141
1004,31,-137
996,117,-125
1031,27,-152
973,-117,-145
988,-39,-125
1008,39,-125
965,-117,-152
980,-39,-125
1020,39,-121
977,-109,-148
969,-74,-129
1016,51,-125
973,-74,-152
969,-90,-117
1016,20,-133
984,-43,-148
969,-102,-121
1020,74,-125
988,-12,-148
980,-98,-125
1035,113,-125
992,47,-133
1043,98,-117
1000,90,-133
988,-20,-125
973,-133,-152
988,105,-141
1004,-31,-117
977,-82,-141
996,109,-125
1027,-4,-125
977,-12,-137
1000,113,-117
1020,4,-121
1004,148,-148
1012,35,-125
977,-74,-148
969,-98,-117
1008,12,-117
984,-51,-145
969,-90,-113
1031,90,-129
980,-16,-148
984,-82,-133
1020,117,-113
996,16,-141
1039,98,-121
1000,94,-137
996,-35,-121
969,90,-133
957,-16,-125
1012,-35,-129
973,20,-113
953,-27,-113
1008,0,-125
973,-98,-145
969,-43,-105
1059,-8,-148
965,-109,-121
1004,90,-133
1004,27,-121
1000,-125,-156
977,-31,-125
1023,43,-117
984,-109,-160
965,-78,-121
1027,47,-125
977,125,-141
1051,113,-117
977,31,-133
984,-74,-117
977,-129,-137
1000,31,-137
984,-59,-121
969,-137,-148
1004,63,-145
1020,-27,-121
961,-137,-160
996,90,-133
1023,-20,-129
973,-133,-156
992,105,-129
1031,-31,-121
984,-82,-145
1000,113,-125
1020,55,-125
1031,23,-113
1020,55,-125
977,-86,-152
973,-94,-121
1016,43,-121
973,-66,-145
965,-98,-121
1039,12,-137
988,-39,-145
977,-90,-121
1031,90,-125
973,-8,-141
1012,-90,-133
1027,113,-113
1000,20,-129
1035,98,-121
1004,105,-133
996,-23,-129
965,-125,-129
1004,117,-125
1020,-12,-129
973,-70,-133
984,125,-129
1023,12,-129
996,-63,-141
965,-55,-109
996,31,-125
1000,141,-145
1008,47,-121
984,-39,-141
973,137,-113
996,-39,-137
988,-23,-145
977,137,-117
965,-129,-148
992,0,-145
1047,-70,-121
973,-148,-152
984,31,-141
1031,-63,-117
969,-148,-152
1008,43,-141
1027,-47,-117
965,-145,-156
1000,90,-133
1008,23,-129
1000,137,-117
1027,23,-121
977,-74,-137
965,-63,-117
1031,51,-121
965,-98,-148
973,-43,-121
1023,59,-125
977,-70,-141
1035,-43,-148
1020,78,-129
984,-39,-152
973,-90,-125
1031,74,-125
965,-27,-145
973,-94,-117
1035,23,-125
961,4,-145
1055,113,-121
1000,70,-125
988,-27,-133
941,-129,-102
1000,117,-133
992,-4,-129
973,-129,-148
1000,141,-121
1000,12,-125
996,137,-160
1035,74,-117
977,-82,-145
965,94,-125
1000,-74,-133
973,-55,-152
988,39,-125
984,-78,-137
984,-27,-145
973,-94,-121
1023,70,-121
992,-8,-148
973,-98,-125
1004,27,-125
992,4,-145
1051,-94,-129
980,-102,-145
992,23,-141
1055,102,-117
988,117,-125
1020,-4,-133
965,82,-117
965,-70,-125
965,16,-133
977,-113,-148
973,-66,-113
1023,20,-125
969,-90,-152
961,-63,-117
1031,31,-121
996,-16,-129
953,-66,-109
1027,55,-121
984,-74,-145
969,-66,-121
984,70,-98
980,129,-152
1016,27,-129
992,4,-145
977,-98,-125
980,-98,-125
996,20,-145
980,-86,-121
965,-156,-152
1004,20,-141
996,-55,-121
965,-164,-156
1000,39,-137
1035,-39,-125
965,-145,-137
1008,74,-137
1023,-35,-117
965,-148,-152
1012,109,-137
1016,-27,-113
953,-133,-164
1004,125,-125
1020,27,-117
992,125,-121
1031,55,-121
965,-98,-156
992,-23,-125
1016,59,-129
973,-63,-148
996,-55,-117
1012,70,-125
984,-59,-152
973,-90,-125
1031,63,-125
969,-39,-148
977,-102,-117
1012,20,-125
965,-16,-141
977,-90,-121
1023,78,-125
973,47,-141
1016,117,-109
996,102,-129
1004,-8,-129
969,-125,-125
1004,121,-129
992,-4,-133
957,-129,-152
1000,133,-121
1016,4,-125
992,94,-148
1027,63,-121
977,-82,-156
977,43,-125
996,-59,-129
961,-55,-152
969,-90,-117
1012,63,-121
984,-39,-148
973,-105,-117
1000,12,-121
980,-23,-141
980,-98,-113
1020,74,-125
984,-4,-137
984,-78,-129
1043,113,-117
984,12,-145
1039,98,-125
992,121,-121
977,-12,-121
969,90,-117
961,-43,-113
1012,-12,-129
957,74,-129
957,-47,-121
1023,0,-125
973,-27,-133
957,-51,-113
1016,27,-125
980,-94,-145
969,-59,-117
1012,27,-113
996,-94,-148
980,-35,-113
1020,55,-125
992,133,-141
