22:48:44.754 ->    352,   -92, 18276,27.17,  -771,   148,  -204
22:48:44.788 ->    352,  -172, 18224,27.02,  -753,   167,  -194
22:48:44.854 ->    352,  -204, 18164,27.07,  -780,   176,  -177
22:48:44.887 ->    492,  -204, 18308,27.12,  -755,   166,  -231
22:48:44.954 ->    292,  -172, 18352,27.17,  -764,   157,  -203
22:48:44.987 ->    360,   -88, 18188,27.12,  -761,   163,  -192
22:48:45.053 ->    376,  -164, 18160,27.07,  -771,   156,  -200
22:48:45.086 ->    328,  -124, 18268,27.12,  -762,   166,  -200
22:48:45.152 ->    428,  -100, 18340,27.07,  -778,   159,  -192
22:48:45.219 ->    308,  -228, 18248,27.31,  -752,   154,  -210
22:48:45.252 ->    356,  -140, 18128,27.07,  -773,   152,  -196
22:48:45.318 ->    356,  -156, 18196,27.12,  -758,   155,  -214
22:48:45.351 ->    440,  -184, 18128,27.17,  -759,   155,  -202
22:48:45.418 ->    324,  -116, 18160,27.21,  -775,   178,  -213
22:48:45.451 ->    416,  -148, 18212,27.17,  -763,   183,  -185
22:48:45.517 ->    388,  -120, 18072,27.12,  -765,   139,  -188
22:48:45.550 ->    356,  -108, 18164,27.17,  -757,   174,  -204
22:48:45.617 ->    364,  -152, 18116,27.12,  -758,   156,  -197
22:48:45.650 ->    308,  -140, 18356,27.17,  -738,   150,  -206
22:48:45.716 ->    388,  -176, 18304,27.12,  -763,   160,  -215
22:48:45.749 ->    384,   -72, 18208,27.17,  -778,   159,  -198
22:48:45.816 ->    400,  -176, 18172,27.21,  -740,   164,  -189
22:48:45.882 ->    376,  -132, 18236,27.07,  -764,   180,  -201
22:48:45.915 ->    412,  -176, 18352,27.12,  -746,   167,  -221
22:48:45.982 ->    356,  -144, 18204,27.26,  -751,   159,  -215
22:48:46.015 ->    372,   -36, 18144,27.12,  -764,   147,  -207
22:48:46.081 ->    384,  -240, 18168,27.17,  -769,   155,  -191
22:48:46.114 ->    396,  -180, 18200,27.12,  -753,   164,  -210
22:48:46.180 ->    400,  -200, 18156,27.26,  -753,   171,  -195
22:48:46.214 ->    384,  -156, 18336,27.12,  -757,   164,  -205
22:48:46.280 ->    416,  -152, 18280,27.26,  -763,   168,  -210
22:48:46.313 ->    388,  -108, 18180,27.12,  -738,   181,  -193
22:48:46.379 ->    356,  -116, 18200,27.17,  -758,   143,  -198
22:48:46.413 ->    468,  -136, 18224,27.17,  -769,   156,  -199
22:48:46.479 ->    456,   -48, 18220,27.21,  -756,   155,  -196
22:48:46.512 ->    352,  -172, 18332,27.12,  -749,   157,  -205
22:48:46.578 ->    332,   -72, 18244,27.17,  -764,   153,  -187
22:48:46.645 ->    416,  -148, 18332,27.17,  -771,   151,  -199
22:48:46.678 ->    396,  -112, 18184,27.07,  -771,   151,  -200
22:48:46.744 ->    328,  -144, 18192,27.21,  -763,   163,  -197
22:48:46.778 ->    296,  -152, 18276,27.17,  -758,   166,  -216
22:48:46.844 ->    292,  -212, 18276,27.12,  -766,   171,  -190
22:48:46.877 ->    404,  -108, 18216,27.17,  -781,   170,  -219
22:48:46.943 ->    356,  -124, 18368,27.17,  -748,   143,  -189
22:48:46.976 ->    344,  -212, 18240,27.12,  -752,   174,  -199
22:48:47.043 ->    412,  -144, 18132,27.07,  -775,   147,  -201
22:48:47.076 ->    376,  -112, 18396,27.21,  -786,   174,  -226
22:48:47.142 ->    448,  -176, 18160,27.26,  -762,   161,  -196
22:48:47.175 ->    316,  -152, 18204,27.21,  -749,   163,  -199
22:48:47.242 ->    416,   -88, 18288,27.26,  -784,   156,  -212
22:48:47.308 ->    412,  -128, 18352,27.12,  -769,   164,  -203
22:48:47.341 ->    332,   -60, 18336,27.17,  -773,   157,  -196
22:48:47.407 ->    400,  -104, 18196,27.12,  -771,   164,  -196
22:48:47.440 ->    388,   -16, 18240,27.17,  -774,   159,  -203
22:48:47.507 ->    372,   -72, 18184,27.21,  -753,   149,  -217
22:48:47.540 ->    424,  -164, 18168,27.17,  -771,   173,  -203
22:48:47.606 ->    392,   -40, 18256,27.21,  -765,   183,  -192
22:48:47.639 ->    400,  -144, 18224,27.26,  -757,   158,  -210
22:48:47.706 ->    400,   -72, 18116,27.12,  -762,   159,  -190
22:48:47.739 ->    368,   -44, 18176,27.17,  -772,   163,  -201
22:48:47.805 ->    356,  -128, 18208,27.21,  -764,   161,  -198
22:48:47.838 ->    308,  -104, 18256,27.17,  -760,   161,  -219
22:48:47.904 ->    484,   -96, 18276,27.21,  -759,   167,  -204
22:48:47.971 ->    232,  -128, 18148,27.17,  -766,   151,  -212
22:48:48.004 ->    324,  -140, 18332,27.26,  -773,   156,  -195
22:48:48.070 ->    392,   -64, 18056,27.21,  -748,   181,  -192
22:48:48.103 ->    348,  -136, 18212,27.17,  -756,   178,  -182
22:48:48.170 ->    360,   -60, 18328,27.35,  -758,   156,  -212
22:48:48.203 ->    412,  -176, 18220,27.31,  -770,   156,  -207
22:48:48.269 ->    460,  -108, 18244,27.17,  -755,   180,  -213
22:48:48.302 ->    276,  -128, 18172,27.21,  -773,   172,  -214
22:48:48.369 ->    372,   -76, 18356,27.26,  -765,   161,  -206
22:48:48.402 ->    364,  -140, 18196,27.21,  -763,   167,  -222
22:48:48.468 ->    432,  -232, 18344,27.26,  -753,   178,  -178
22:48:48.501 ->    308,   -88, 18296,27.31,  -759,   166,  -209
22:48:48.568 ->    380,   -36, 18164,27.17,  -747,   161,  -212
22:48:48.601 ->    364,   -56, 18188,27.21,  -772,   156,  -201
22:48:48.667 ->    320,  -136, 18136,27.26,  -752,   168,  -202
22:48:48.733 ->    344,  -120, 18168,27.21,  -763,   160,  -195
22:48:48.767 ->    408,  -104, 18248,27.26,  -763,   168,  -188
22:48:48.833 ->    492,   -88, 18296,27.21,  -774,   150,  -198
22:48:48.866 ->    380,  -160, 18208,27.07,  -761,   154,  -180
22:48:48.932 ->    504,   -40, 18272,27.21,  -766,   164,  -197
22:48:48.966 ->    392,  -196, 18256,27.17,  -760,   165,  -215
22:48:49.032 ->    432,   -84, 18308,27.12,  -750,   165,  -211
22:48:49.065 ->    376,  -128, 18216,27.17,  -775,   150,  -192
22:48:49.131 ->    396,  -104, 18296,27.31,  -751,   162,  -203
22:48:49.165 ->    336,  -140, 18264,27.35,  -761,   180,  -197
